id	title	author	author_norm	GND	date	series	genre	publisher	license	tokenCount				
k00300000001	Hochzeit im Palast des Prinzen	Lynne Graham	Graham, Lynne		2008	Julia	liebe	Cora	restricted	39388				
k00300000002	Liebeszauber der Südsee	Robyn Donald	Donald, Robyn		2008	Julia	liebe	Cora	restricted	40762				
k00300000003	Erpressung aus Leidenschaft	Sabrina Philips	Philips, Sabrina		2009	Julia	liebe	Cora	restricted	43238				
k00300000004	Maskenball auf der Insel der Liebe	Valerie Parv	Parv, Valerie		2009	Julia	liebe	Cora	restricted	45142				
k00300000005	Traumfrau mit Hindernissen	Trish Wylie	Wylie, Trish		2009	Julia	liebe	Cora	restricted	41422				
k00300000006	Ausgerechnet mit dem Boss?	Carol Marinelli	Marinelli, Carol		2010	Julia	liebe	Cora	restricted	43518				
k00300000007	Liebeszauber auf Santorin	Trish Morey	Morey, Trish		2010	Julia	liebe	Cora	restricted	43185				
k00300000008	Sag einfach nur: Ich liebe dich!	Sharon Kendrick	Kendrick, Sharon		2010	Julia	liebe	Cora	restricted	42069				
k00300000009	Verführt von einem Playboy	Lindsay Armstrong	Armstrong, Lindsay		2010	Julia	liebe	Cora	restricted	42166				
k00300000010	Ein Schlossherr zum Verlieben	Christina Hollis	Hollis, Christina		2011	Julia	liebe	Cora	restricted	39738				
k00300000011	Im Licht der Wintersonne	Natasha Oakley	Oakley, Natasha		2011	Julia	liebe	Cora	restricted	42807				
k00300000012	Liebessommer mit einem Fürsten	Sharon Kendrick	Kendrick, Sharon		2011	Julia	liebe	Cora	restricted	40187				
k00300000013	Ein geheimnisvoller Geliebter	Cara Colter	Colter, Cara		2011	Julia	liebe	Cora	restricted	40931				
k00300000014	Brich mir nicht das Herz, Boss!	Maisey Yates	Yates, Maisey		2013	Julia	liebe	Cora	restricted	43480				
k00300000015	Im Penthouse des griechischen Tycoons	Carole Mortimer	Mortimer, Carole		2013	Julia	liebe	Cora	restricted	41823				
k00300000016	Küsse, süß wie Schokolade	Shirley Jump	Jump, Shirley		2013	Julia	liebe	Cora	restricted	42422				
k00300000017	Im goldenen Käfig des Italieners	Sharon Kendrick	Kendrick, Sharon		2014	Julia	liebe	Cora	restricted	42439				
k00300000018	Im Sturm der Leidenschaft	Lynne Graham	Graham, Lynne		2014	Julia	liebe	Cora	restricted	41630				
k00300000019	Sag doch bitte endlich Ja	Melanie Milburne	Milburne, Melanie		2014	Julia	liebe	Cora	restricted	43452				
k00300000020	Wüstenprinz und Herzensbrecher	Sharon Kendrick	Kendrick, Sharon		2014	Julia	liebe	Cora	restricted	43899				
k00300000021	Ein Scheich für die Diamantenprinzessin	Susan Stephens	Stephens, Susan		2014	Julia	liebe	Cora	restricted	42190				
k00300000022	Im Bett des spanischen Millionärs	Trish Morey	Morey, Trish		2014	Julia	liebe	Cora	restricted	20772				
k00300000023	Sizilianische Leidenschaft	Carol Marinelli	Marinelli, Carol		2014	Julia	liebe	Cora	restricted	17204				
k00300000024	Schöner als jeder Diamant	Carole Mortimer	Mortimer, Carole		2015	Julia	liebe	Cora	restricted	37734				
k00300000025	Wenn die Wüstensonne am Horizont versinkt	Sarah Morgan	Morgan, Sarah		2015	Julia	liebe	Cora	restricted	43468				
k00300000026	Aufregendes Rendezvous in Paris	Carole Mortimer	Mortimer, Carole		2015	Julia	liebe	Cora	restricted	41145				
k00300000027	Im Bann des sizilianischen Millionärs	Michelle Smart	Smart, Michelle		2015	Julia	liebe	Cora	restricted	41534				
k00300000028	Keiner küsst besser als du!	Louisa George	George, Louisa		2015	Julia	liebe	Cora	restricted	42948				
k00300000029	Zu viele Nächte ohne dich	Jessica Hart	Hart, Jessica		2015	Julia	liebe	Cora	restricted	21675				
k00300000030	Rückkehr nach Cornwall	Jessica Gilmore	Gilmore, Jessica		2015	Julia	liebe	Cora	restricted	41264				
k00300000031	Was kostet dein Herz?	Nicola Marsh	Marsh, Nicola		2015	Julia	liebe	Cora	restricted	40344				
k00300000032	Deine Lippen sind einfach unvergesslich!	Maggie Cox	Cox, Maggie		2015	Julia	liebe	Cora	restricted	41462				
k00300000033	Die Braut des italienischen Milliardärs	Lynne Graham	Graham, Lynne		2015	Julia	liebe	Cora	restricted	40791				
k00300000034	Heiß wie die Sonne Afrikas	Nina Harrington	Harrington, Nina		2015	Julia	liebe	Cora	restricted	19918				
k00300000035	Mit zwei Männern vorm Altar	Margaret Way	Way, Margaret		2015	Julia	liebe	Cora	restricted	21405				
k00300000036	Unter tausend Wüstensternen	Lynn Raye Harris	Harris, Lynn Raye		2015	Julia	liebe	Cora	restricted	42735				
k00300000037	Eine filmreife Affäre	Leah Ashton	Ashton, Leah		2015	Julia	liebe	Cora	restricted	43057				
k00300000038	Spiel nicht mit der Liebe!	Charlotte Phillips	Phillips, Charlotte		2015	Julia	liebe	Cora	restricted	42397				
k00300000039	Zurück in die Arme des griechischen Millionärs?	Lynne Graham	Graham, Lynne		2015	Julia	liebe	Cora	restricted	41546				
k00300000040	Die Jacht der geheimen Wünsche	Rebecca Winters	Winters, Rebecca		2015	Julia	liebe	Cora	restricted	41564				
k00300000041	Fahr mit mir ins Glück!	Miranda Lee	Lee, Miranda		2015	Julia	liebe	Cora	restricted	43559				
k00300000042	Venedig, die Liebe und der Boss	Fiona Harper	Harper, Fiona		2015	Julia	liebe	Cora	restricted	42480				
k00300000043	Zu einem Scheich sagt man nicht Nein	Lynne Graham	Graham, Lynne		2015	Julia	liebe	Cora	restricted	42665				
k00300000044	Ein Sommer voller Sinnlichkeit	Teresa Southwick	Southwick, Teresa		2015	Julia	liebe	Cora	restricted	35386				
k00300000045	Sehnsucht unterm Wüstenhimmel	Michelle Conder	Conder, Michelle		2015	Julia	liebe	Cora	restricted	42071				
k00300000046	Tropenwind auf zarter Haut	Elizabeth Power	Power, Elizabeth		2015	Julia	liebe	Cora	restricted	41314				
k00300000047	Unsere Kreuzfahrt ins Glück	Connie Cox	Cox, Connie		2015	Julia	liebe	Cora	restricted	41743				
k00300000048	Auf dem Landsitz des stolzen Italieners	Cathy Williams	Williams, Cathy		2015	Julia	liebe	Cora	restricted	41975				
k00300000049	Cinderella und der Playboy	Jessica Gilmore	Gilmore, Jessica		2015	Julia	liebe	Cora	restricted	43078				
k00300000050	Heirate mich, mein Engel!	Carole Mortimer	Mortimer, Carole		2015	Julia	liebe	Cora	restricted	21319				
k00300000051	Heiße Küsse für den Prinzen	Raye Morgan	Morgan, Raye		2015	Julia	liebe	Cora	restricted	21685				
k00300000052	Küss mich in der Toskana!	Caroline Anderson	Anderson, Caroline		2015	Julia	liebe	Cora	restricted	45165				
k00300000053	Ein Boss zum Verlieben	Caitlin Crews	Crews, Caitlin		2015	Julia	liebe	Cora	restricted	39372				
k00300000054	Folge mir auf mein Schloss!	Sara Craven	Craven, Sara		2015	Julia	liebe	Cora	restricted	40344				
k00300000055	Geheime Leidenschaft am Mittelmeer	Rebecca Winters	Winters, Rebecca		2015	Julia	liebe	Cora	restricted	41430				
k00300000056	Heiße Winternächte in Paris	Melanie Milburne	Milburne, Melanie		2015	Julia	liebe	Cora	restricted	43356				
k00300000057	Ein Prinz zum Fest der Liebe	Jennifer Faye	Faye, Jennifer		2015	Julia	liebe	Cora	restricted	41629				
k00300000058	Wiedersehen unterm Mistelzweig	Cara Colter	Colter, Cara		2015	Julia	liebe	Cora	restricted	43765				
